date,added,deleted,commits
2016-05-04,145323,0,3
2016-05-05,80829,77014,1
2016-06-12,480691,28003,1
2016-06-14,189171,214932,1
2016-06-15,2337,5826,2
2016-06-21,19791,1748,1
2016-06-22,179,37615,1
2016-06-23,590,40,1
2016-06-24,865,243,2
2016-06-28,21308,170867,1
2016-07-02,10943,66,1
2016-07-11,50661,24989,1
2016-07-27,16477,2029,1
2016-07-31,19101,8959,1
